host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,review_scores_rating,review_scores_location,reviews_per_month,host_tenure_days,host_verifications_count,property_grouped_encoded,bathrooms_count,bathroom_type_encoded,room_type_encoded,wifi,kitchen,hot water,hair dryer,dishes and silverware,essentials,hangers,bed linens,iron,refrigerator,cooking basics,smoke alarm,microwave,shampoo,self check-in,fire extinguisher,tv,dedicated workspace,heating,hot water kettle,city_Albany,city_Amsterdam,city_Asheville,city_Austin,city_Barcelona,city_Bologna,city_Bordeaux,city_Boston,city_Bozeman,city_Brisbane,city_Brussels,city_Chicago,"city_Clark County, NV",city_Dallas,city_Dublin,city_Edinburgh,city_Florence,city_Fort Worth,city_Hawaii,city_Hong Kong,city_Lisbon,city_Los Angeles,city_Lyon,city_Madrid,city_Mallorca,city_Melbourne,city_Mid North Coast,city_Milan,city_Montreal,city_Mornington Peninsula,city_Naples,city_Nashville,city_New Orleans,city_New York City,city_Northern Rivers,city_Ottawa,city_Portland,city_Porto,city_Prague,city_Quebec City,city_Rochester,city_San Francisco,city_Sunshine Coast,city_Sydney,city_Tasmania,city_Toronto,city_Twin Cities MSA,city_Valencia,city_Vancouver,city_Vaud,city_Venice,city_Victoria,city_Vienna,"city_Washington, D.C",city_Winnipeg,days_between_reviews
1.0,90.0,95.0,0.0,3.0,1.0,1.0,-27.47509219998581,153.01497100362383,3,1.0,1.0,2.0,168.0,1,0,21,2,2,2,0.0,12.0,5.0,5.0,2.0,132.0,3,0.0,1.0,0.0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
4.0,75.0,96.0,1.0,3.0,1.0,0.0,29.98387,-90.04998,6,2.0,3.0,3.0,433.0,1,23,76,35,30,2,31.0,255.0,5.0,4.54,2.27,2513.0,1,2.0,2.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448
1.0,100.0,99.0,0.0,6.0,0.0,1.0,45.48629,12.23511,2,1.0,1.0,1.0,94.0,1,12,252,8,7,0,8.0,42.0,3.88,4.25,0.63,910.0,2,0.0,1.0,2.0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,216
24.0,50.0,31.0,0.0,6.0,1.0,1.0,30.35876,-97.64916,2,1.0,1.0,1.0,47.0,1,30,180,15,1,0,1.0,6.0,4.47,4.67,0.25,2000.0,2,2.0,1.0,2.0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544
1.0,100.0,99.0,1.0,2.0,1.0,1.0,44.82215,-0.60983,2,1.0,1.0,1.0,43.0,1,14,28,308,90,5,94.0,255.0,4.81,4.74,6.48,2025.0,2,5.0,1.0,1.0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423
1.0,95.0,93.0,0.0,7.0,1.0,1.0,43.7673628,11.2512388,8,1.5,3.0,3.0,180.0,1,3,78,1,1,1,0.0,6.0,5.0,5.0,1.0,3290.0,3,0.0,1.5,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,100.0,100.0,0.0,5.0,1.0,1.0,32.92752,-96.70573,8,3.0,4.0,4.0,134.0,1,20,267,25,9,0,10.0,54.0,4.88,4.8,0.61,3265.0,2,2.0,3.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152
1.0,100.0,100.0,1.0,78.0,1.0,1.0,32.935749179162706,-96.8150432464973,3,1.0,1.0,1.0,129.0,1,26,359,9,9,0,8.0,54.0,5.0,4.89,1.75,879.0,3,0.0,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
1.0,100.0,97.0,1.0,3.0,1.0,1.0,40.69222157830535,-73.92749342710411,2,1.0,1.0,1.0,150.0,1,4,200,62,50,3,48.0,255.0,4.94,4.68,3.84,2292.0,2,0.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478
1.0,96.0,100.0,0.0,15.0,1.0,1.0,-33.73396,150.96772,5,2.0,2.0,2.0,302.0,1,19,317,2,0,0,0.0,0.0,3.5,4.0,0.07,936.0,2,0.0,2.0,0.0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,265
1.0,100.0,99.0,0.0,1.0,1.0,1.0,41.14282,-8.64788,6,2.0,3.0,5.0,123.0,1,0,160,10,0,0,1.0,0.0,4.3,4.4,0.31,3604.0,1,7.0,2.0,0.0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535
